Herb_ID/Component_ID,CNE1_IC50,CNE2_IC50,IL_2_Secretion,IFN_g_Secretion,Target_ID,Binding_Energy,Pathway_Name
淫羊藿-CMP017,80.83804200184363,,248.94816735902526,364.8017093816212,CD40,-7.36908083593953,Notch
川芎-CMP018,33.81022389395617,36.031867970623885,256.96725094689714,166.8937330623174,OX40,-5.263815399904149,Notch
赤芍-CMP019,46.1844700701705,8.762907910199917,96.08341858284251,105.87934931750326,ICOS,-11.534451235932451,TNF-α
淫羊藿-CMP020,46.38892537439965,5.715741915374732,191.50930262351906,130.76686324559714,4-1BB,,MAPK
当归-CMP021,46.215906677607435,63.505759314960564,208.77341271691094,94.49728312705425,LAG3,-7.974909931359298,NF-κB
川芎-CMP022,41.87614298961958,48.53402459669408,186.40419732898374,,CTLA-4,-1.3940609125688481,PI3K-Akt
白术-CMP023,69.75329855241503,29.765980182410797,174.00936357335155,301.7249147814206,PD-L1,-4.980223891783576,JAK-STAT
当归-CMP024,78.75923127048969,93.42194593233864,264.60318796075296,217.27808876000586,CD40,-11.17500904931254,NF-κB
熟地-CMP025,35.334795571089415,19.25910720406334,193.35947203082154,282.18790789433575,OX40,-7.180472592791048,JAK-STAT
枸杞-CMP026,13.188736552474834,19.529779159612023,222.00750254375976,347.8284397559596,PD-1,-11.32714555108002,MAPK
黄连-CMP027,82.21595888946274,19.790015957343066,238.3445463147354,200.40306736989305,CTLA-4,-7.53276600211356,PI3K-Akt
白术-CMP028,66.67497870102605,,290.5431371186355,,PD-1,-7.773039029622327,MAPK
枸杞-CMP029,71.06405669513151,20.790466031379026,104.2022766466228,174.23806298861757,PD-1,-7.325485504615198,Notch
当归-CMP030,38.568461662475016,12.38479051167356,293.5987019165416,395.58743823347294,4-1BB,-9.761891942648434,MAPK
栀子-CMP031,6.241226300529592,13.27381808816105,91.20856528425023,211.6016373073181,4-1BB,-0.05089548274022215,NF-κB
黄芪-CMP032,12.15911073348392,55.762896127798996,237.47768736749296,372.2130407224457,CD40,-4.441874160940576,TNF-α
白术-CMP033,39.02545821311985,68.79945358131596,180.07692522594832,327.1418853554046,PD-L1,-1.7923726449020578,MAPK
柴胡-CMP034,17.955290180743127,38.305818086626715,197.47942171365827,205.51809443191434,CTLA-4,-2.6069781319067986,Wnt
赤芍-CMP035,29.533216888401043,98.10309465212032,173.1545234982174,185.20051529200262,CTLA-4,-8.319046728131424,Notch
生地-CMP036,26.265661261100455,10.1762394173358,136.90480362067086,90.17749807525284,4-1BB,-8.313769855738194,TNF-α
柴胡-CMP037,5.916169397822956,81.58912158034083,237.0649225959146,139.04672619404073,GITR,-7.053961827757632,Hippo
柴胡-CMP038,15.181341077278725,55.5986403132272,110.61762590868241,166.1578339038019,OX40,-7.488279263849309,NF-κB
黄连-CMP039,267.5998393137585,13.36613398925656,196.63385866518976,260.6267336072452,LAG3,-9.09534162881092,TNF-α
丹皮-CMP040,22.723867284874046,21.470491553001708,274.1913561566063,105.6747986117255,CTLA-4,-6.424308301068628,Notch
熟地-CMP041,15.776859062548304,50.27885099200914,259.6456396756562,145.6248192478269,LAG3,-8.596508491068665,NF-κB
黄连-CMP042,,17.769394309202553,65.84374261819194,396.7872743647825,GITR,-2.9814373809449446,MAPK
黄芩-CMP043,93.6291163744957,8.075027150798558,144.8071462409501,376.46381554870754,4-1BB,-5.747884145988681,PI3K-Akt
当归-CMP044,60.889134200530385,47.93511712340873,228.4456137138315,367.8935824934954,4-1BB,-8.490042596893288,NF-κB
女贞子-CMP045,74.40216799688363,20.8394221993714,269.65727884335956,,CD40,-4.018459072609254,NF-κB
黄芪-CMP046,55.9657283910365,,200.98946801812812,240.73227118800963,GITR,-10.165988838138869,JAK-STAT
甘草-CMP047,395.4101632964738,32.353313565193986,203.7375657881636,371.7927708297487,GITR,-7.108366116522817,Hippo
茯苓-CMP048,74.96220238434867,18.883527693601643,162.70984285103305,116.23617466904167,OX40,-10.509432964047035,Hippo
川芎-CMP049,14.055822975952085,,265.8795351532392,375.34727417551517,CD40,-6.099990015122013,NF-κB
黄芪-CMP050,60.155893276414126,6.243973375891695,215.88434300417765,136.97150939832045,CD28,-7.541557048879617,Wnt
熟地-CMP051,49.482023701931034,40.883965006816084,259.14120332308323,267.9851533549038,PD-1,-8.373689322015778,TNF-α
灵芝-CMP052,30.720743948637608,43.82974625431916,56.346588915086215,,PD-L1,-2.368062018540621,NF-κB
黄芪-CMP053,254.43063052693918,19.830931729331642,,338.1920476680275,CD28,-3.4356726048891457,Wnt
生地-CMP054,17.261653426076613,29.645226175972788,144.92310204181672,268.89438160473844,CD28,-8.724706782470076,Wnt
黄柏-CMP055,22.30017818805041,53.68347730878255,235.42173605716638,303.6306730114894,ICOS,-10.885151407417407,PI3K-Akt
甘草-CMP056,31.03524596528457,66.8849368934271,257.4354509268004,146.05480696339302,LAG3,-9.890529578923068,Hippo
黄柏-CMP057,20.796920031827543,6.241980018876897,200.78802736659705,158.5117150980227,OX40,-2.251226414571026,JAK-STAT
黄芪-CMP058,56.285063996278375,84.94531772945412,261.6019623286393,385.67562007151326,PD-L1,-8.206101530397042,NF-κB
枸杞-CMP059,96.93144187967322,14.793905871305764,128.64913920235273,338.37768058136356,PD-1,-4.3981011694335805,Hippo
丹皮-CMP060,8.745020132887788,26.01489697286221,,382.09898869971624,LAG3,-4.005172003473321,TNF-α
生地-CMP061,5.823239219697124,54.63128472676105,211.13666265645554,288.053552141833,GITR,-11.03546491378177,TNF-α
黄连-CMP062,89.16788608243778,27.131150101595207,56.100195389134505,358.43163964829756,CD40,-8.928288880642194,Notch
黄芩-CMP063,16.524101207967774,45.028915216321664,,,CTLA-4,-9.623976988360942,TNF-α
当归-CMP064,95.24631247527141,6.341165034683893,154.3951939462321,361.3178584198927,GITR,-7.092708886314338,NF-κB
柴胡-CMP065,25.94618986166666,79.06052498884156,137.53131479168252,98.50965650028684,CD40,-0.28899086721914813,TNF-α
黄连-CMP066,56.01257017487429,60.10818974459206,72.87170934943872,360.78747604172173,CTLA-4,-8.186585373357053,PI3K-Akt
栀子-CMP067,71.09285782072627,55.597239343072395,290.53049314801245,115.03003521742525,OX40,-3.75393189504306,MAPK
女贞子-CMP068,87.47527638489696,19.947362671739967,90.10002633251803,186.88284119847611,ICOS,,PI3K-Akt
柴胡-CMP069,91.32662438058995,57.83726482877692,239.15895094623366,,PD-L1,-7.064584652994062,NF-κB
淫羊藿-CMP070,96.4842403666045,65.09907984772508,283.00702637750436,112.80311295701736,CD28,-5.833167131672082,JAK-STAT
生地-CMP071,15.140783857801317,,198.59896480713633,202.75592332979897,PD-1,-8.090854476762674,PI3K-Akt
栀子-CMP072,15.40523338672233,12.826199333505055,220.12482551867828,289.44358856996325,CTLA-4,-3.395768432876399,JAK-STAT
女贞子-CMP073,25.244946882382912,66.90834841070908,142.13158593094028,356.59463994868383,GITR,-10.370390005789806,MAPK
灵芝-CMP074,48.89924262273776,61.84109018663056,201.8266120656678,159.21278579308006,ICOS,-8.067243626068505,Hippo
生地-CMP075,62.001952071333854,71.02327918202154,265.03059929730114,329.55231644587195,GITR,-6.006706887189735,NF-κB
生地-CMP076,54.182606121547586,38.309558464872175,58.30077719784164,105.14511908960664,4-1BB,-4.180268909481714,TNF-α
女贞子-CMP077,63.577435276935034,33.38940920204482,283.8004538248649,383.1521480419324,CD28,-5.481399090027902,Hippo
黄柏-CMP078,10.73344797910356,20.15674461075289,267.9458916480504,150.14847595457417,CD40,-6.045767475240355,MAPK
茯苓-CMP079,12.745016507480535,25.95330686762071,154.59994716691318,145.14504970951765,CD40,-5.053819956732956,Hippo
熟地-CMP080,46.66846482301109,12.300034121370544,268.35580952041516,368.22459648360274,4-1BB,-4.062933469274621,TNF-α
丹皮-CMP081,65.09135065649909,53.69844449455149,153.25779366192427,102.12249157971823,ICOS,-5.034000789819909,Hippo
灵芝-CMP082,35.89305610134601,6.963104910775248,292.45526126963614,225.21265324276456,LAG3,-10.641936759299675,TNF-α
川芎-CMP083,62.52612497626387,,245.44758246125735,305.72339011590515,GITR,-5.053829755893931,JAK-STAT
灵芝-CMP084,93.71812666515096,53.18730682539728,60.39321476259802,127.46982430786844,OX40,-6.512258112136127,Wnt
川芎-CMP085,17.60789211283135,273.2441871267123,233.22472958533544,131.9622062919427,OX40,-6.61918305419899,Notch
白术-CMP086,16.527790467856867,80.5734853111583,,272.19505361479554,OX40,-7.382518106306015,Wnt
黄连-CMP087,15.365415017746225,77.69313213279955,281.41870772017796,220.21515085183606,PD-L1,-5.617490809130924,PI3K-Akt
栀子-CMP088,41.913019620682846,302.3743482878469,143.312947907335,152.72628072420846,LAG3,-10.652444918858244,Wnt
黄芩-CMP089,55.02926074055116,,148.59133095458753,255.81255629774506,PD-L1,-7.830126940117325,MAPK
黄连-CMP090,14.63497870267557,29.393773933448255,121.2182254904807,178.3327887764117,CTLA-4,-11.282989286760463,Wnt
黄连-CMP091,33.05143747592946,7.778426698211145,,215.8487760628358,4-1BB,-1.799093831374953,Notch
栀子-CMP092,44.04770463163695,18.500346850970168,138.35534482567954,155.79857887183425,OX40,-6.144335459314924,JAK-STAT
灵芝-CMP093,12.093379484497731,21.95236669663835,128.067946512199,153.6787738969184,CD40,-10.144423231072196,Wnt
淫羊藿-CMP094,5.2373163764837365,82.77717042632712,200.80485255334307,187.91268248173452,CD40,-9.880836422106132,MAPK
人参-CMP095,11.643502542396241,30.759006467517555,198.20299791335566,297.6422179531045,LAG3,-6.644104358414479,Hippo
枸杞-CMP096,70.55046462796325,55.90363002494272,74.1691124116799,224.11869960261924,PD-1,-4.150109005245569,PI3K-Akt
川芎-CMP097,13.46682105102158,6.915702254528522,256.5169075631321,330.24898805452347,PD-L1,-11.05880777221153,Hippo
当归-CMP098,7.426463170281644,13.6188107347665,191.64384054285463,205.13368417861582,PD-1,-5.460402332070467,PI3K-Akt
灵芝-CMP099,71.02035344573386,97.68296908169192,210.243019336333,343.1937803629955,ICOS,-9.490178470447232,Hippo
人参-CMP100,,,187.38238397375423,389.0630915690304,CD28,-11.154682525906049,Wnt
