排名,中药名称,成分ID,CNE1_IC50,CNE2_IC50,抗肿瘤评分,免疫激活评分,靶点评分,综合评分,结合亲和力预测,ADMET评分
83,中药化合物_44,CMP_44,90.94110816767032,30.157743150695293,1.6247105302611478,23261.48833518874,80751.21542125098,100.0,56.61662320317953,93.79132912467551
84,中药化合物_43,CMP_43,3.535413259410318,49.77512573864931,3.6159474057379244,27948.841080311504,38890.89231907162,100.0,67.83381364065045,90.83687378576208
85,中药化合物_42,CMP_42,49.568173320115896,25.253051352953882,2.603447170377009,36901.51992988459,67278.47179925843,100.0,34.84613986942909,91.06387411166966
86,中药化合物_41,CMP_41,12.291619660993405,96.2484847647169,1.8092980917564827,40494.177218659606,28279.151998478937,100.0,82.4856284959224,94.74492671822443
87,中药化合物_40,CMP_40,44.07123412458618,97.18103006382397,1.396138491304775,1177.4892245229566,51294.34634172501,100.0,59.281537687485816,67.42102062812485
88,中药化合物_39,CMP_39,68.45487934856448,36.42659727769147,1.8712316325808418,30071.240149797224,26201.960540915188,100.0,48.11059907493214,98.72773711658887
89,中药化合物_38,CMP_38,9.857444189237748,70.33159399362826,2.4334145333956965,29455.636610796722,67048.16274779449,100.0,49.56513804869604,78.9283962676623
90,中药化合物_37,CMP_37,30.530915540419734,51.927183112162275,2.368038153720451,18583.353115983,43012.68086565988,100.0,85.13557071347199,94.57432999358548
91,中药化合物_36,CMP_36,80.85889507683447,32.38797290887345,1.7354050786421593,32687.424896872322,46788.21121276787,100.0,7.705472863080988,74.74105374895045
92,中药化合物_35,CMP_35,96.56664010414848,94.29667942086067,1.0370038247426587,17387.932109618527,25651.008587160748,100.0,68.35755048959363,86.0666730150354
93,中药化合物_34,CMP_34,94.89366517160799,33.82775562322244,1.5299711308516415,9410.82203938972,28147.253801344203,100.0,22.096301874786157,61.24536331538045
94,中药化合物_33,CMP_33,6.598654139229423,12.074550196634913,9.674358979417406,25030.083960751508,45723.84526624482,100.0,8.196516969174029,68.52418816100334
95,中药化合物_32,CMP_32,17.135359956360425,22.288570266025953,4.828127097701505,27013.284051921193,63160.107836663505,100.0,49.637985934369205,69.19818423564345
96,中药化合物_31,CMP_31,60.793730704953695,41.799359214563026,1.9121722109357118,10718.779951541266,14231.961547033856,100.0,72.36966935748963,95.76396814716537
97,中药化合物_30,CMP_30,4.7403962307277725,51.12365552749882,3.4563773867004706,20989.627974491006,51787.69631563167,100.0,26.049402997656593,76.37336025260171
98,中药化合物_29,CMP_29,59.28221542931805,0.7945178400659513,3.221819020857517,25959.532107568604,56772.638058911994,100.0,37.33158284953017,99.35910591839313
99,中药化合物_28,CMP_28,51.472020397519806,86.0869852673087,1.433085590193509,19272.304076484546,58193.51489804144,100.0,40.90447598576281,70.9686080939468
100,中药化合物_100,CMP_100,10.878353556631115,78.00956703117663,2.2005124411090247,24802.18043759725,30094.105578312083,100.0,13.095615389050135,88.25902905947605
