中药名称,成分ID,分子式,来源药材,CNE1_IC50,CNE2_IC50,细胞凋亡率,IL2,IFNγ,TNFα,结合能,靶点ID,通路,复方配伍,口服生物利用度,半衰期
延胡索,CMP049,C33H54O10,延胡索,87.45468654399335,34.002841569995105,50.79176602104937,36.87139231102039,117.94982051003639,242.40867930779498,-6.412160297504952,TLR4,PI3K-Akt,川芎+木香+牛膝,73.33295662908348,19.703250027740424
黄柏,CMP050,C38H51O19,黄柏,34.83150216802327,76.84946455911414,23.440366356507038,199.99555800957543,63.384648424433344,84.51114388883612,-5.6950386106287985,IFNAR1,TGF-β,三七+乳香+茯苓,40.137589665801976,4.731685878034361
栀子,CMP051,C28H25O10,栀子,53.86710382012785,31.637321759716173,66.60367097635505,99.11296495612801,253.83174996319806,101.44262518288271,-4.4229586380470165,TLR9,Notch,单味药,75.3512991664992,19.428962155485596
生地,CMP052,C18H75O19,生地,,51.82192105492589,68.173270304673,27.425578235227743,274.9413870436746,206.92526512604263,-4.9229618102559405,PD-1,Hippo,当归+桔梗,89.5620280990633,9.622991488608655
乳香,CMP053,C10H60O12,乳香,,8.843351355801406,27.914674990593127,168.6429888636524,173.66518872427392,185.900174551359,-7.777827952906206,CD28,MAPK,丹皮+川芎,61.11613857382483,15.32464307184229
香附,CMP054,C21H74O20,香附,42.24019192564544,363.8041235623075,15.992976849108324,195.18435328092212,38.95021041447689,138.62396965071008,-7.941378427361707,IFNAR1,TGF-β,人参+牛膝,30.29202088553702,1.3735713155057954
黄芩,CMP055,C38H64O15,黄芩,81.33827050291303,7.246953166190238,64.33332797923953,,102.16391992900876,25.29447477989393,-10.404241330278493,PD-L1,Wnt,川芎+佩兰,12.929661722952668,15.878711472417256
黄芩,CMP056,C27H22O7,黄芩,50.12411942716524,50.2548158568691,74.70173266388746,108.66241217163898,244.32146447249667,,-11.368583951556257,IL-6R,PI3K-Akt,豆蔻+熟地,62.87353771665093,8.049404690087307
桔梗,CMP057,C17H18O10,桔梗,36.96780193444725,80.30850158065482,57.55874254702829,191.0299852931255,,157.77963228040102,-5.749504242052268,PD-L1,PI3K-Akt,桃仁+桃仁+牛膝,12.590825918373358,4.529077758032287
藿香,CMP058,C50H37O16,藿香,52.25678214663081,91.44070807550548,18.243269684347265,157.24325187098276,217.13058713791125,,-7.1049825378908595,STING,JAK-STAT,枸杞+枳实+黄芩,45.608895419396404,3.0191870454088146
佩兰,CMP059,C32H31O10,佩兰,23.199919909349696,98.52812212628913,65.44459715277986,54.979875014505396,,99.8106832444298,-7.421780743067791,TLR9,TGF-β,茯苓+乳香,89.96760351475095,17.53400217748655
茯苓,CMP060,C48H58O6,茯苓,43.82921036171551,91.16051482374185,13.878899501244394,,62.84433070685617,53.69441377417917,-9.418713990763555,GITR,Wnt,女贞子+赤芍+黄连,86.50813016345585,7.312373763910806
人参,CMP061,C32H66O9,人参,9.04106263444362,94.90613854306876,63.97156581561257,60.28462248828035,79.02634631655008,149.45224257482508,-7.05513258940034,PD-1,Notch,川芎+苍术+丹皮,42.48740213956467,11.431515057968939
桃仁,CMP062,C23H60O6,桃仁,51.983033274139984,11.51220942730063,26.921650265552696,33.279162725952396,145.88688335878612,,-11.595157665597679,TLR4,mTOR,柴胡+丹参+香附,35.01719366898185,18.551791628188457
当归,CMP063,C16H65O16,当归,28.854277498979307,,68.99947528390737,137.77891471543535,100.00954680348491,16.921690397601616,-11.140023325030342,OX40,MAPK,单味药,55.62253151048235,5.477071943417538
三七,CMP064,C29H75O5,三七,56.22535198894074,37.19503094808424,20.098715155825403,124.46796072075722,132.38838359729806,24.45990294699584,-11.688688270030237,TIM3,Notch,单味药,36.2372678109221,15.100566784487594
桃仁,CMP065,C38H55O18,桃仁,33.79271976431334,11.850854359640957,39.1578188602563,68.45878840523521,271.65478917278926,219.94329181827794,-6.965916155180505,IL-6R,Notch,香附+栀子+当归,48.435902697153125,13.05734365036771
甘草,CMP066,C22H46O13,甘草,41.88305086910371,21.185276587511318,45.12736532276914,126.1808313794358,152.0495298831832,214.36859378905413,-6.180783208472652,OX40,TGF-β,黄柏+木香,35.10020789902537,4.983195748718538
木香,CMP067,C26H76O11,木香,30.551416957839102,94.20706908641868,78.7582207533197,156.52311112665225,217.37226231424347,,-8.08797536390777,STING,Wnt,熟地+白术+香附,53.45527015906225,21.6024906154252
黄连,CMP068,C22H51O15,黄连,82.96721864729534,,49.34126137742393,61.60807867409186,50.5834428399024,189.10937952179586,-10.08574347242963,PD-L1,TGF-β,栀子+栀子,67.3886445000195,3.3125328098790017
熟地,CMP069,C41H32O19,熟地,64.94389387113671,,16.262250435806145,119.08533710332092,169.84263753020932,184.9326543869695,-4.506644961994992,4-1BB,Hippo,桔梗+藿香+黄芩,86.97051040666739,22.29891305161819
生地,CMP070,C31H53O5,生地,,12.152029340995293,21.374598377781705,97.19374949614863,92.03416646426535,,-6.107056836061944,LAG3,mTOR,乳香+桔梗+陈皮,36.23413269921408,10.219164672440922
赤芍,CMP071,C48H25O19,赤芍,65.71465333994968,69.58409045185115,14.348703226037529,32.46272108275479,105.90577576101354,110.27290404757336,-7.979836230092883,LAG3,TNF-α,单味药,48.254551978817915,11.464509473725416
砂仁,CMP072,C11H65O13,砂仁,70.67284639043139,8.73216949259658,49.49181055914324,21.73402903576992,173.3417896390608,133.78945818176,,OX40,PI3K-Akt,枳实+白术+黄柏,56.6518142752814,3.0916578223888203
黄芪,CMP073,C44H32O16,黄芪,74.83464380034975,58.252815240844505,13.170286190948016,75.46048464680557,37.8527753913833,248.61906021207622,-4.5233376089204285,CTLA-4,Notch,半夏+黄芩+茯苓,88.26666279392808,15.855258816234759
白术,CMP074,C25H41O7,白术,18.668889271407057,54.188590153402124,47.01897776808065,148.29304677216433,,15.816224312053327,-11.818117381424267,LAG3,Notch,单味药,46.8500222838877,4.567791583686647
淫羊藿,CMP075,C45H37O18,淫羊藿,59.80047060045637,45.19766555861163,57.04165458105533,175.72035937941448,88.5255623411499,25.395631563159487,-8.488297508100315,IFNGR1,JAK-STAT,佩兰+熟地+栀子,56.08882684642296,14.281920736671285
木香,CMP076,C15H72O16,木香,50.06645796180908,97.2567332990249,75.91104868823382,137.55507970168725,240.02528687454503,89.90259746933337,-8.669402932628444,OX40,MAPK,单味药,34.05891350361182,17.27426634222336
女贞子,CMP077,C30H51O17,女贞子,54.02791809837434,83.11122223628819,13.607564037980966,81.66191524265456,189.391444987194,24.293675238645122,-11.417725373019977,IL-2RA,TGF-β,单味药,26.944621763920644,5.3705450454934205
厚朴,CMP078,C25H78O15,厚朴,,36.566695999606,28.30931391697468,107.43514260451697,159.23764206827533,38.17293441788781,-4.149452345227386,STING,Wnt,丹参+半夏+灵芝,79.12678731755858,18.048804710479246
赤芍,CMP079,C39H62O6,赤芍,76.57270194096566,,60.649056247760434,,149.03211956549745,187.20147570087943,,OX40,TGF-β,单味药,77.12547948759638,2.70959946318959
乳香,CMP080,C35H25O16,乳香,64.1351305843049,93.45646838870209,73.89260183143833,,24.404894723381524,140.0699339779931,-8.70929193426067,PD-1,TGF-β,熟地+人参+佩兰,63.92263616953683,19.541857075790865
桔梗,CMP081,C24H42O20,桔梗,,25.07758152509532,58.80654212690895,66.99518166458537,251.85738203974657,33.94497587254563,-4.066602357732108,PD-L1,TNF-α,单味药,60.9398460444511,17.16543845043944
生地,CMP082,C42H59O6,生地,5.609635103432585,8.360457932639456,74.79093670566462,180.86921366435163,177.78276193343538,22.731918336065895,-4.569869109962726,TIM3,NF-κB,黄柏+郁金,22.99602005717647,6.530860468998596
淫羊藿,CMP083,C50H34O17,淫羊藿,44.27173703150642,,33.841492253257414,156.11107413943404,287.36035113610643,108.22521658760549,,PD-1,MAPK,枳实+藿香,44.54783569916358,16.632981736027652
丹参,CMP084,C25H36O17,丹参,36.709322583291986,10.060522440927672,76.00721591397168,94.49981434929612,,39.02438231661278,-11.301622141159072,TLR7,Notch,单味药,17.169507356830998,13.747055524144155
柴胡,CMP085,C48H32O14,柴胡,,30.811995272131806,44.518675954754926,22.020758552621338,141.7093553935686,113.95904984654321,-8.126149488528572,CTLA-4,Wnt,单味药,46.628930632455564,4.11625909065555
丹参,CMP086,C28H23O18,丹参,60.71791557059149,69.83393725666625,43.530681967681865,43.75108155063672,131.50708311232225,89.99735123284395,-6.121005076470508,STING,mTOR,丹皮+丹参,19.11102588895985,13.968561698462077
藿香,CMP087,C49H20O17,藿香,14.778733146937697,30.980431608558405,27.687717945176416,39.287214546612745,138.47582743273296,103.5928422390059,-8.40746623333093,IL-6R,Notch,豆蔻+佩兰+半夏,12.941213125420159,23.273844937005475
三七,CMP088,C39H41O20,三七,,43.615098845128045,10.738344094920597,59.16029037669453,162.9893473470125,136.91747520959714,-7.355853635807967,IL-2RA,JAK-STAT,桔梗+厚朴+郁金,50.03726252957876,8.934249914788921
红花,CMP089,C38H69O17,红花,48.140090589707185,44.37842788902968,58.77342858665663,70.59280010136308,104.07394329094329,205.39369517589407,-11.079317866409713,TIM3,TNF-α,单味药,36.479172444253535,10.806495823298693
黄芪,CMP090,C29H25O9,黄芪,70.76882598001372,21.37266345736487,62.66278467523441,163.65865983993956,37.51785041136603,38.91173145087846,-5.024165359920919,4-1BB,Wnt,厚朴+白术+赤芍,79.01092379658459,13.137445451439001
丹参,CMP091,C42H78O18,丹参,12.668303613504015,31.232620251014392,22.813116283203847,,163.03096345640506,,-10.89706161172354,TLR4,Hippo,单味药,49.17136209537671,4.226820307249332
藿香,CMP092,C38H42O18,藿香,42.14741309213708,84.14928840802105,44.208965835777995,25.70741889942871,28.640997580041343,193.84830535817468,-9.663280723530347,ICOS,JAK-STAT,柴胡+厚朴+香附,71.80381105298969,12.392206889716551
淫羊藿,CMP093,C28H52O13,淫羊藿,73.86288106573373,65.71349853562715,27.327213740644044,176.21387079260802,29.02451072577427,76.7615778141885,-5.102402996019806,CTLA-4,Notch,黄柏+郁金+红花,58.82094420955815,10.847842408847637
佩兰,CMP094,C33H73O20,佩兰,98.56334192391762,68.2506322764077,16.665761467003993,,239.99349352156324,230.91064728000896,-4.060110194842605,OX40,PI3K-Akt,丹皮+甘草,21.37373064602943,15.545245596621143
丹参,CMP095,C11H30O10,丹参,387.85385664676824,87.02186852424884,69.30171282060952,27.696915037014076,292.20208174262785,164.18752820099738,-6.421688177691536,CTLA-4,TGF-β,桔梗+黄柏,35.82921196719624,7.522640748086335
枳实,CMP096,C38H16O5,枳实,46.195295461020734,99.19198564324635,39.94595106066967,199.18187305951457,274.6340200076674,,-9.585075964988622,ICOS,TNF-α,单味药,41.70732535457866,8.026712631417306
三七,CMP097,C49H71O11,三七,,98.82733603696293,39.561975364254195,35.11327870758656,39.831925512143386,105.02143253380659,-6.153892945888232,CD28,TNF-α,单味药,61.32609188135871,16.574152792138015
女贞子,CMP098,C13H45O20,女贞子,89.76270161528919,14.861301016003774,18.62100557439158,148.70173829023585,118.42997930727628,115.90635425529152,-5.671386710415471,GITR,MAPK,木香+延胡索+延胡索,58.60744791324186,18.916302007804976
牛膝,CMP099,C42H68O18,牛膝,,,51.57508376964062,110.374435177875,,,-4.528604786606273,OX40,Hippo,香附+半夏,86.3562387152709,18.718442132166118
桔梗,CMP100,C21H30O5,桔梗,9.160353380539942,54.119916790931526,53.12329389667236,62.71886978956641,106.77392797265973,135.1566040994029,,OX40,TGF-β,郁金+枸杞+川芎,44.998883444046,22.928843464469658
