中药名称,成分ID,分子式,来源药材,CNE1_IC50,CNE2_IC50,细胞凋亡率,IL_2_Secretion,IFN_g_Secretion,TNF_a_Secretion,Binding_Energy,Target_ID,Pathway_Name,复方,口服生物利用度,半衰期,配伍权重,CNE1_抑制评分,CNE2_抑制评分
生地,CMP052,C18H75O19,生地,50.09528869448716,51.82192105492589,68.173270304673,27.425578235227743,274.9413870436746,206.92526512604263,-4.9229618102559405,PD-1,Hippo,当归+桔梗,89.5620280990633,9.622991488608656,1.0,0.7961241719240981,0.47755939435159134
乳香,CMP053,C10H60O12,乳香,50.09528869448716,8.843351355801406,27.914674990593127,168.6429888636524,173.66518872427392,185.900174551359,-7.777827952906206,CD28,MAPK,丹皮+川芎,61.11613857382483,15.32464307184229,1.0,0.7961241719240981,0.9108461102129018
黄芩,CMP055,C38H64O15,黄芩,81.33827050291303,7.246953166190238,64.33332797923953,108.04877738807797,102.16391992900876,25.29447477989393,-10.404241330278492,PD-L1,Wnt,川芎+佩兰,12.929661722952668,15.878711472417256,1.0,0.6689727180897951,0.9269401341328662
黄芩,CMP056,C27H22O7,黄芩,50.12411942716524,50.2548158568691,74.70173266388746,108.66241217163898,244.32146447249667,,-11.368583951556255,IL-6R,PI3K-Akt,豆蔻+熟地,62.87353771665093,8.049404690087307,1.0,0.7960068377465345,0.493358102159428
桔梗,CMP057,C17H18O10,桔梗,36.96780193444725,80.30850158065482,57.55874254702829,191.0299852931255,143.79811937617734,157.77963228040102,-5.749504242052268,PD-L1,PI3K-Akt,桃仁+桃仁+牛膝,12.590825918373358,4.529077758032287,1.0,0.8495498992431045,0.19037308246361584
藿香,CMP058,C50H37O16,藿香,52.25678214663081,91.44070807550548,18.243269684347265,157.24325187098276,217.13058713791125,,-7.10498253789086,STING,JAK-STAT,枸杞+枳实+黄芩,45.6088954193964,3.0191870454088146,1.0,0.7873274112122485,0.07814419196747502
佩兰,CMP059,C32H31O10,佩兰,23.199919909349696,98.52812212628912,65.44459715277986,54.9798750145054,143.79811937617734,99.8106832444298,-7.421780743067791,TLR9,TGF-β,茯苓+乳香,89.96760351475095,17.53400217748655,1.0,0.9055818819278751,0.0066927132535171685
茯苓,CMP060,C48H58O6,茯苓,43.82921036171551,91.16051482374183,13.878899501244394,108.04877738807797,62.84433070685617,53.69441377417917,-9.418713990763557,GITR,Wnt,女贞子+赤芍+黄连,86.50813016345585,7.312373763910806,1.0,0.8216256101266665,0.080968948926887
人参,CMP061,C32H66O9,人参,9.04106263444362,94.90613854306876,63.97156581561257,60.28462248828035,79.02634631655008,149.45224257482508,-7.05513258940034,PD-1,Notch,川芎+苍术+丹皮,42.48740213956467,11.43151505796894,1.0,0.963205040247904,0.04320759456910217
桃仁,CMP062,C23H60O6,桃仁,51.983033274139984,11.51220942730063,26.921650265552696,33.2791627259524,145.88688335878612,,-11.59515766559768,TLR4,mTOR,柴胡+丹参+香附,35.01719366898185,18.551791628188457,1.0,0.7884415035654093,0.8839401252768
当归,CMP063,C16H65O16,当归,28.854277498979307,47.54969859963669,68.99947528390737,137.77891471543535,100.00954680348492,16.921690397601616,-11.140023325030342,OX40,MAPK,单味药,55.62253151048235,5.477071943417538,1.0,0.882570000653901,0.5206296326131244
三七,CMP064,C29H75O5,三七,56.22535198894074,37.19503094808424,20.098715155825403,124.46796072075722,132.38838359729806,24.45990294699584,-11.688688270030235,TIM3,Notch,单味药,36.2372678109221,15.100566784487594,1.0,0.771176282354356,0.6250197966410331
桃仁,CMP065,C38H55O18,桃仁,33.79271976431334,11.850854359640955,39.1578188602563,68.45878840523521,271.65478917278926,219.94329181827797,-6.965916155180505,IL-6R,Notch,香附+栀子+当归,48.435902697153125,13.05734365036771,1.0,0.8624717233011086,0.8805260900586898
甘草,CMP066,C22H46O13,甘草,41.88305086910371,21.18527658751132,45.12736532276914,126.1808313794358,152.0495298831832,214.36859378905413,-6.180783208472652,OX40,TGF-β,黄柏+木香,35.10020789902537,4.983195748718538,1.0,0.8295460131917889,0.7864214890938243
木香,CMP067,C26H76O11,木香,30.551416957839105,94.20706908641868,78.7582207533197,156.52311112665225,217.37226231424347,,-8.08797536390777,STING,Wnt,熟地+白术+香附,53.45527015906225,21.6024906154252,1.0,0.8756630494903795,0.05025523508276575
黄连,CMP068,C22H51O15,黄连,82.96721864729534,47.54969859963669,49.34126137742393,61.60807867409186,50.5834428399024,189.10937952179583,-10.08574347242963,PD-L1,TGF-β,栀子+栀子,67.3886445000195,3.3125328098790017,1.0,0.6623432892456174,0.5206296326131244
熟地,CMP069,C41H32O19,熟地,64.94389387113671,47.54969859963669,16.262250435806145,119.08533710332092,169.84263753020932,184.9326543869695,-4.506644961994992,4-1BB,Hippo,桔梗+藿香+黄芩,86.97051040666739,22.29891305161819,1.0,0.7356939048260527,0.5206296326131244
生地,CMP070,C31H53O5,生地,50.09528869448716,12.152029340995291,21.374598377781705,97.19374949614864,92.03416646426535,,-6.107056836061944,LAG3,mTOR,乳香+桔梗+陈皮,36.23413269921408,10.219164672440922,1.0,0.7961241719240981,0.8774898066392052
赤芍,CMP071,C48H25O19,赤芍,65.71465333994968,69.58409045185115,14.348703226037529,32.46272108275479,105.90577576101354,110.27290404757336,-7.979836230092883,LAG3,TNF-α,单味药,48.25455197881792,11.464509473725416,1.0,0.7325570983708605,0.29849080043505616
砂仁,CMP072,C11H65O13,砂仁,70.67284639043139,8.73216949259658,49.49181055914324,21.73402903576992,173.3417896390608,133.78945818176,-7.6839755567677495,OX40,PI3K-Akt,枳实+白术+黄柏,56.6518142752814,3.0916578223888203,1.0,0.7123784400524709,0.9119669856796427
黄芪,CMP073,C44H32O16,黄芪,74.83464380034975,58.252815240844505,13.170286190948016,75.46048464680557,37.8527753913833,248.61906021207625,-4.5233376089204285,CTLA-4,Notch,半夏+黄芩+茯苓,88.26666279392808,15.85525881623476,1.0,0.6954409212689007,0.4127265941589633
白术,CMP074,C25H41O7,白术,18.668889271407057,54.18859015340213,47.01897776808065,148.29304677216433,143.79811937617734,15.816224312053327,-11.818117381424267,LAG3,Notch,单味药,46.8500222838877,4.567791583686647,1.0,0.9240220915248605,0.4536999153510579
淫羊藿,CMP075,C45H37O18,淫羊藿,59.80047060045637,45.19766555861163,57.04165458105533,175.72035937941448,88.5255623411499,25.395631563159487,-8.488297508100315,IFNGR1,JAK-STAT,佩兰+熟地+栀子,56.08882684642296,14.281920736671283,1.0,0.7566264057813814,0.5443415587911564
木香,CMP076,C15H72O16,木香,50.06645796180908,97.2567332990249,75.91104868823382,137.55507970168725,240.02528687454503,89.90259746933337,-8.669402932628444,OX40,MAPK,单味药,34.05891350361182,17.27426634222336,1.0,0.7962415061016617,0.01951016840394526
女贞子,CMP077,C30H51O17,女贞子,54.02791809837434,83.11122223628819,13.607564037980966,81.66191524265456,189.391444987194,24.29367523864512,-11.417725373019977,IL-2RA,TGF-β,单味药,26.944621763920644,5.3705450454934205,1.0,0.7801193120435047,0.16211756728808924
厚朴,CMP078,C25H78O15,厚朴,50.09528869448716,36.566695999606,28.30931391697468,107.43514260451695,159.2376420682753,38.17293441788781,-4.149452345227386,STING,Wnt,丹参+半夏+灵芝,79.12678731755858,18.04880471047925,1.0,0.7961241719240981,0.6313543300653172
赤芍,CMP079,C39H62O6,赤芍,76.57270194096566,47.54969859963669,60.649056247760434,108.04877738807797,149.03211956549745,187.20147570087943,-7.6839755567677495,OX40,TGF-β,单味药,77.12547948759638,2.70959946318959,1.0,0.6883674408699121,0.5206296326131244
乳香,CMP080,C35H25O16,乳香,64.1351305843049,93.45646838870208,73.89260183143833,108.04877738807797,24.404894723381524,140.0699339779931,-8.70929193426067,PD-1,TGF-β,熟地+人参+佩兰,63.92263616953683,19.541857075790865,1.0,0.7389853777193583,0.057822385723506176
桔梗,CMP081,C24H42O20,桔梗,50.09528869448716,25.07758152509532,58.80654212690895,66.99518166458537,251.85738203974657,33.94497587254563,-4.066602357732108,PD-L1,TNF-α,单味药,60.9398460444511,17.16543845043944,1.0,0.7961241719240981,0.7471813739540483
生地,CMP082,C42H59O6,生地,5.609635103432585,8.360457932639456,74.79093670566462,180.86921366435163,177.78276193343538,22.731918336065892,-4.569869109962726,TIM3,NF-κB,黄柏+郁金,22.99602005717647,6.530860468998596,1.0,0.9771701285346256,0.9157143807695447
淫羊藿,CMP083,C50H34O17,淫羊藿,44.27173703150642,47.54969859963669,33.841492253257414,156.11107413943404,287.36035113610643,108.22521658760547,-7.6839755567677495,PD-1,MAPK,枳实+藿香,44.54783569916358,16.632981736027652,1.0,0.8198246325577075,0.5206296326131244
丹参,CMP084,C25H36O17,丹参,36.70932258329199,10.060522440927672,76.00721591397168,94.49981434929612,143.79811937617734,39.02438231661278,-11.301622141159072,TLR7,Notch,单味药,17.169507356830998,13.747055524144155,1.0,0.8506018483012022,0.8985752490416784
柴胡,CMP085,C48H32O14,柴胡,50.09528869448716,30.811995272131806,44.518675954754926,22.020758552621334,141.7093553935686,113.9590498465432,-8.126149488528572,CTLA-4,Wnt,单味药,46.62893063245557,4.11625909065555,1.0,0.7961241719240981,0.6893701131969456
丹参,CMP086,C28H23O18,丹参,60.71791557059149,69.83393725666625,43.530681967681865,43.75108155063672,131.50708311232225,89.99735123284395,-6.121005076470508,STING,mTOR,丹皮+丹参,19.11102588895985,13.968561698462077,1.0,0.7528926244643181,0.29597197995581204
藿香,CMP087,C49H20O17,藿香,14.778733146937697,30.980431608558405,27.687717945176416,39.287214546612745,138.47582743273296,103.5928422390059,-8.40746623333093,IL-6R,Notch,豆蔻+佩兰+半夏,12.94121312542016,23.273844937005475,1.0,0.9398540953298014,0.6876720290691372
三七,CMP088,C39H41O20,三七,50.09528869448716,43.615098845128045,10.738344094920595,59.16029037669453,162.9893473470125,136.91747520959714,-7.355853635807967,IL-2RA,JAK-STAT,桔梗+厚朴+郁金,50.03726252957876,8.934249914788921,1.0,0.7961241719240981,0.5602961412427613
红花,CMP089,C38H69O17,红花,48.14009058970719,44.37842788902968,58.77342858665663,70.59280010136308,104.07394329094328,205.39369517589407,-11.079317866409712,TIM3,TNF-α,单味药,36.479172444253535,10.806495823298691,1.0,0.8040813599761617,0.5526006702936563
黄芪,CMP090,C29H25O9,黄芪,70.76882598001372,21.37266345736487,62.66278467523441,163.65865983993956,37.51785041136603,38.91173145087846,-5.024165359920919,4-1BB,Wnt,厚朴+白术+赤芍,79.01092379658459,13.137445451439,1.0,0.7119878261082371,0.7845323559280915
丹参,CMP091,C42H78O18,丹参,12.668303613504015,31.232620251014392,22.813116283203847,108.04877738807797,163.03096345640506,,-10.89706161172354,TLR4,Hippo,单味药,49.17136209537671,4.226820307249332,1.0,0.9484430381213813,0.68512959944823
藿香,CMP092,C38H42O18,藿香,42.14741309213708,84.14928840802105,44.208965835778,25.70741889942871,28.640997580041343,193.84830535817468,-9.663280723530349,ICOS,JAK-STAT,柴胡+厚朴+香附,71.80381105298969,12.392206889716553,1.0,0.8284701222539881,0.1516523450727948
淫羊藿,CMP093,C28H52O13,淫羊藿,73.86288106573373,65.71349853562715,27.327213740644044,176.21387079260802,29.02451072577427,76.7615778141885,-5.102402996019806,CTLA-4,Notch,黄柏+郁金+红花,58.82094420955815,10.847842408847637,1.0,0.6993957628792844,0.33751201662630126
佩兰,CMP094,C33H73O20,佩兰,98.56334192391762,68.2506322764077,16.665761467003993,108.04877738807797,239.99349352156324,230.91064728000896,-4.060110194842605,OX40,PI3K-Akt,丹皮+甘草,21.37373064602943,15.545245596621143,1.0,0.5988708024976743,0.3119340052141133
枳实,CMP096,C38H16O5,枳实,46.195295461020734,99.19198564324635,39.94595106066967,199.18187305951457,274.6340200076674,,-9.585075964988622,ICOS,TNF-α,单味药,41.70732535457866,8.026712631417306,1.0,0.8119962104068483,0.0
三七,CMP097,C49H71O11,三七,50.09528869448716,98.82733603696292,39.5619753642542,35.11327870758656,39.831925512143386,105.0214325338066,-6.153892945888232,CD28,TNF-α,单味药,61.32609188135871,16.574152792138015,1.0,0.7961241719240981,0.003676200288952103
女贞子,CMP098,C13H45O20,女贞子,89.76270161528919,14.861301016003774,18.62100557439158,148.70173829023585,118.42997930727628,115.90635425529152,-5.671386710415471,GITR,MAPK,木香+延胡索+延胡索,58.60744791324186,18.916302007804976,1.0,0.6346873009604774,0.8501763935903663
牛膝,CMP099,C42H68O18,牛膝,50.09528869448716,47.54969859963669,51.57508376964062,110.374435177875,143.79811937617734,,-4.528604786606273,OX40,Hippo,香附+半夏,86.3562387152709,18.71844213216612,1.0,0.7961241719240981,0.5206296326131244
桔梗,CMP100,C21H30O5,桔梗,9.160353380539942,54.119916790931526,53.12329389667236,62.71886978956641,106.77392797265972,135.1566040994029,-7.6839755567677495,OX40,TGF-β,郁金+枸杞+川芎,44.998883444046,22.928843464469654,1.0,0.9627195554792563,0.4543922430832358
